City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
399,Seoul,KR,78.8,overcast clouds,37.57,126.98,LOTTE HOTEL SEOUL
400,Kimbe,PG,75.09,overcast clouds,-5.55,150.14,Kimbe Bay Hotel
401,Richards Bay,ZA,70.9,broken clouds,-28.78,32.04,BON Hotel Waterfront Richards Bay
403,Aden,YE,88.07,broken clouds,12.78,45.04,Sama Emirate Hotel
409,Hasaki,JP,80.6,broken clouds,35.73,140.83,Inubosaki Kanko Hotel
410,Goderich,CA,75.0,light rain,43.75,-81.72,Harmony Inn
417,Kawambwa,ZM,87.66,broken clouds,-9.79,29.08,"Uphill Country Lodge, Kawambwa"
418,Sur,OM,89.74,overcast clouds,22.57,59.53,Sur Plaza Hotel
419,Gerede,TR,85.51,clear sky,40.8,32.2,Hotel Konuk
421,Bambous Virieux,MU,73.0,shower rain,-20.34,57.76,Casa Tia Villa
422,Hamilton,US,75.0,overcast clouds,39.18,-84.53,Six Acres Bed & Breakfast
425,Venice,US,89.01,clear sky,27.1,-82.45,A Beach Retreat
426,Phangnga,TH,82.4,light rain,8.45,98.53,Rattanapong Hotel
430,Robertsport,LR,77.81,moderate rain,6.75,-11.37,Kwepunha Retreat
431,Kirundo,BI,75.2,broken clouds,-2.58,30.17,Maranatha Hotel
432,Bandar-E Anzali,IR,80.6,few clouds,37.47,49.46,Behesht Talab Hotel
437,Pombas,CV,87.8,broken clouds,17.15,-25.02,POUSADA O RECANTO
439,Itoman,JP,84.2,few clouds,26.12,127.67,Southern Beach Hotel & Resort Okinawa
441,Mon,IN,72.99,light rain,26.75,95.1,NCK Cottage
442,Lakatoro,VU,76.08,light rain,-16.1,167.42,Lakatoro Palm Lodge
443,Santa Cecilia,BR,76.46,clear sky,-26.96,-50.43,Hotel Italiano
444,Kupang,ID,74.53,scattered clouds,-10.17,123.58,Sylvia Hotel Premier Kupang
446,Belmonte,BR,78.8,scattered clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
447,Auki,SB,78.1,overcast clouds,-8.77,160.7,Auki Motel
448,Marsh Harbour,BS,84.65,overcast clouds,26.54,-77.06,Abaco Beach Resort
454,Buta,CD,86.52,scattered clouds,2.79,24.73,HOTEL BISO NA BISO
455,Manokwari,ID,75.65,moderate rain,-0.87,134.08,Swiss Belhotel Manokwari
458,Iguape,BR,77.47,clear sky,-24.71,-47.56,Hotel Pousada Nossa Senhora do Carmo
461,Caravelas,BR,80.31,few clouds,-17.71,-39.25,Pousada dos Navegantes
462,Dwarka,IN,82.31,moderate rain,22.24,68.97,Hotel Narayan Avezika Comfort
463,Carutapera,BR,85.82,overcast clouds,-1.2,-46.02,Lidera
465,Howard Springs,AU,75.2,overcast clouds,-12.5,131.05,buffalo beach hostel
466,Kayunga,UG,72.52,light rain,0.7,32.89,Katikomu Hotel
468,Westport,US,75.2,overcast clouds,41.14,-73.36,The Westport Inn
470,Sinnamary,GF,86.59,broken clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
471,Celestun,MX,81.88,overcast clouds,20.87,-90.4,Posada Lilia
474,Sabang,ID,83.75,light rain,5.89,95.32,Hotel Citra
476,Pundaguitan,PH,84.04,overcast clouds,6.37,126.17,Leonardo Family Beach House 1
477,Etchojoa,MX,84.99,overcast clouds,26.92,-109.63,Cuadra RT
481,Asfi,MA,73.18,clear sky,32.3,-9.24,Hôtel Abda
482,Eyl,SO,83.52,clear sky,7.98,49.82,Amiin Hotel
483,Padang,ID,79.07,light rain,-0.95,100.35,Mercure Padang
485,Baillif,GP,87.8,broken clouds,16.02,-61.75,Chambres Bougainvilliers Vue Mer
487,Vicksburg,US,84.2,overcast clouds,32.35,-90.88,La Quinta Inn & Suites by Wyndham Vicksburg
489,Nanma,CN,79.0,light rain,36.18,118.16,GreenTree Inn Zibo Wuyuan County Lushan Road Express Hotel
490,Gunjur,GM,86.0,thunderstorm,13.2,-16.73,Kuba Lodge
492,Pyrzyce,PL,75.0,overcast clouds,53.15,14.89,Pensjonat
494,Bembereke,BJ,79.65,light rain,10.23,2.66,Hotel Bio Guera
495,Saint-Georges,GD,86.0,scattered clouds,12.06,-61.75,Siesta Hotel
498,Lamar,US,82.0,clear sky,33.67,-95.58,Kings Inn Paris TX
500,Barcelos,PT,75.0,few clouds,41.54,-8.62,Hotel Do Terço
502,Atasu,KZ,71.31,clear sky,48.68,71.64,Dostyk
504,Bubaque,GW,79.63,overcast clouds,11.28,-15.83,Casa Dora
505,Turinsk,RU,72.73,overcast clouds,58.05,63.7,hotel Arthur
508,Itaituba,BR,84.2,scattered clouds,-4.28,-55.98,Hotel Campos
510,Espinosa,BR,84.58,clear sky,-14.93,-42.82,Hotel Vilma
512,Villarrica,PY,85.59,clear sky,-25.75,-56.43,Mansión Reljuv Tours SA
513,Hrubieszow,PL,80.56,overcast clouds,50.8,23.89,Hotel Jagiełło
522,Lata,PT,79.0,clear sky,40.16,-8.33,Casa Maquia
523,Johnson City,US,73.4,overcast clouds,36.31,-82.35,Hampton Inn Johnson City
526,Kadhan,PK,87.51,moderate rain,24.48,68.99,Arshad Communication
527,Lerik,AZ,82.4,scattered clouds,38.77,48.41,Hotel Lerik
528,Sambava,MG,76.14,clear sky,-14.27,50.17,Melrose
531,Velingara,SN,80.83,light rain,13.15,-14.12,Hotel Najla
533,Nantucket,US,71.6,mist,41.28,-70.1,Jared Coffin House
535,Ponta Do Sol,PT,77.0,clear sky,32.67,-17.1,Hotel do Campo
536,Brownsville,US,87.01,clear sky,25.9,-97.5,Hotel Alameda Express
537,Fuerte,PH,81.28,overcast clouds,17.54,120.36,Giordion Inn
540,Jaque,PA,80.38,moderate rain,7.52,-78.17,cabañas de playa
541,Kismayo,SO,80.08,clear sky,-0.36,42.55,Agan-Hotel
542,Duxbury,US,75.2,light rain,42.04,-70.67,Winsor House Inn
543,Gwadar,PK,81.82,scattered clouds,25.12,62.33,Sadaf Resort
545,Svetlogorsk,BY,73.17,scattered clouds,52.63,29.73,Hotel Svetlogorsk JBIK
547,Kulhudhuffushi,MV,83.37,overcast clouds,6.62,73.07,Haajy Guest House 1
548,Mayumba,GA,74.05,light rain,-3.43,10.66,LIKWALE LODGE
549,Sterling,US,75.0,light rain,39.01,-77.43,Hampton Inn & Suites Washington-Dulles International Airport
551,Ishim,RU,71.33,clear sky,56.11,69.49,Hostel v Ishime
552,Enrile,PH,78.6,overcast clouds,17.56,121.7,FE
556,Trairi,BR,87.85,scattered clouds,-3.28,-39.27,Pousada Field Lilies - Trairi
558,Khani,GE,84.2,clear sky,41.96,42.96,კურორტი ზეკარი/Resort Zekari
559,Katsuura,JP,82.4,broken clouds,35.13,140.3,Katsuura Hotel Mikazuki
562,Hirara,JP,84.09,broken clouds,24.8,125.28,Hotel Atoll Emerald Miyakojima
567,Parvatipuram,IN,80.26,moderate rain,18.78,83.43,Behara Kali
569,Osmena,PH,82.06,light rain,10.52,119.93,Arjemarkyza Lodge
571,Tarakan,ID,83.59,clear sky,3.3,117.63,Hotel D' CaLia Tarakan
572,Santa Rosa,PH,86.0,light rain,14.31,121.11,Amethyst Econotel
573,Faro,PT,84.2,clear sky,37.02,-7.93,Hotel Faro & Beach Club
574,Karatau,KZ,77.04,clear sky,43.17,70.47,Gor.bol'nitsa
579,Bobrovskiy,RU,80.6,few clouds,56.67,60.98,Wings Cottage
580,Salalah,OM,77.0,overcast clouds,17.02,54.09,HAMDAN PLAZA HOTEL
583,Mantua,IT,71.6,light rain,45.17,10.78,Hotel la Favorita
585,Cabra,ES,81.0,clear sky,37.47,-4.44,MS Fuente Las Piedras
586,Maragogi,BR,80.62,clear sky,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
588,Zaragoza,ES,75.2,few clouds,41.66,-0.88,Hotel Goya
590,Arawa,PG,76.46,overcast clouds,-6.21,155.54,Coastline Guest House
591,Sao Gabriel Da Cachoeira,BR,82.0,moderate rain,-0.13,-67.09,Alarne - Área De Lazer Do Alto Rio Negro
592,Sahuaripa,MX,78.08,scattered clouds,29.05,-109.23,Estatua de Sahuaripa
