City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
187,Pisco,PE,-13.7,-76.22,61.0,82,90,4.7,overcast clouds
188,Harper,LR,4.38,-7.72,79.11,77,95,14.88,light rain
189,Klaksvik,FO,62.23,-6.59,53.6,71,40,6.93,scattered clouds
190,Homer,US,59.64,-151.55,51.01,90,46,8.99,scattered clouds
191,Chumikan,RU,54.72,135.31,53.55,62,0,3.38,clear sky
192,Knysna,ZA,-34.04,23.05,46.4,75,20,16.11,few clouds
193,Axim,GH,4.87,-2.24,80.17,71,93,12.77,overcast clouds
194,Melilla,ES,35.29,-2.94,82.4,54,0,19.46,clear sky
195,Juegang,CN,32.32,121.19,82.99,58,100,7.78,light rain
196,Xining,CN,36.62,101.77,51.76,83,100,0.92,light rain
197,Devarkonda,IN,16.7,78.93,80.96,76,100,6.31,overcast clouds
198,Vestmanna,FO,62.16,-7.17,53.6,71,40,6.93,scattered clouds
199,Aklavik,CA,68.22,-135.01,37.4,100,40,2.24,scattered clouds
200,Batemans Bay,AU,-35.72,150.18,48.99,93,0,1.01,clear sky
201,Crepy-En-Valois,FR,49.23,2.89,63.0,87,75,9.17,heavy intensity shower rain
202,East Brainerd,US,35.0,-85.15,78.01,88,92,3.0,light rain
203,Vostok,RU,46.49,135.88,50.13,100,100,7.27,moderate rain
204,Vila Franca Do Campo,PT,37.72,-25.43,77.0,88,20,18.34,few clouds
205,Saskylakh,RU,71.92,114.08,54.43,60,100,4.43,overcast clouds
206,Alim,PH,9.56,122.49,82.06,79,100,7.14,overcast clouds
207,Antalaha,MG,-14.9,50.28,75.49,70,1,11.21,clear sky
208,Ribeira Grande,PT,38.52,-28.7,80.6,83,20,12.75,few clouds
209,Puerto Pailas,BO,-17.67,-62.79,82.4,65,0,14.99,clear sky
210,Ketchikan,US,55.34,-131.65,55.4,93,90,4.7,light rain
211,Saint-Joseph,RE,-21.37,55.62,73.4,69,28,17.22,scattered clouds
212,Fort Nelson,CA,58.81,-122.7,42.8,93,90,10.29,mist
213,Socorro,US,31.65,-106.3,81.0,32,40,11.41,scattered clouds
214,Lavrentiya,RU,65.58,-171.0,47.34,80,99,8.48,overcast clouds
215,Changli,CN,39.7,119.15,69.62,91,0,2.35,clear sky
216,Anderson,US,34.53,-82.65,80.01,83,90,12.75,overcast clouds
217,Fallon,US,39.47,-118.78,59.0,38,1,4.7,clear sky
218,Oni,GE,42.58,43.44,76.08,46,1,4.25,clear sky
219,Bengkulu,ID,-3.8,102.27,78.89,85,70,7.74,broken clouds
220,Westerly,US,41.38,-71.83,73.4,83,90,8.05,light rain
221,Gibsons,CA,49.4,-123.5,55.99,83,100,1.99,overcast clouds
222,Paoua,CF,7.24,16.44,75.33,81,100,5.57,overcast clouds
223,Komsomolskiy,UZ,40.43,71.72,86.0,27,0,6.93,clear sky
224,Kachug,RU,53.96,105.88,56.89,89,100,1.77,overcast clouds
225,Tiksi,RU,71.69,128.87,43.32,82,0,6.53,clear sky
226,Castro-Urdiales,ES,43.38,-3.22,68.0,72,75,12.75,light rain
227,Los Llanos De Aridane,ES,28.66,-17.92,80.6,69,20,17.22,few clouds
228,Busok,PH,6.51,124.6,76.21,82,100,3.36,overcast clouds
229,Renqiu,CN,38.7,116.09,76.73,75,9,8.03,clear sky
